hora,temp,light,soil
14:00:00,27.98,205000,23.45
14:00:03,27.97,204961,23.47
14:00:06,27.98,204925,23.46
14:00:09,27.96,204888,23.43
14:00:12,27.97,204850,23.41
14:00:15,27.95,204812,23.42
14:00:18,27.96,204775,23.40
14:00:21,27.94,204738,23.38
14:00:24,27.95,204701,23.39
14:00:27,27.93,204663,23.37
14:00:30,27.94,204626,23.35
14:00:33,27.92,204589,23.36
14:00:36,27.93,204551,23.34
14:00:39,27.91,204514,23.32
14:00:42,27.92,204477,23.33
14:00:45,27.90,204440,23.31
14:00:48,27.91,204402,23.29
14:00:51,27.89,204365,23.30
14:00:54,27.90,204328,23.28
14:00:57,27.88,204291,23.26
14:01:00,27.89,204253,23.27
14:01:03,27.87,204216,23.25
14:01:06,27.88,204179,23.23
14:01:09,27.86,204142,23.24
14:01:12,27.87,204104,23.22
14:01:15,27.85,204067,23.20
14:01:18,27.86,204030,23.21
14:01:21,27.84,203993,23.19
14:01:24,27.85,203955,23.17
14:01:27,27.83,203918,23.18
14:01:30,27.84,203881,23.16
14:01:33,27.82,203844,23.14
14:01:36,27.83,203806,23.15
14:01:39,27.81,203769,23.13
14:01:42,27.82,203732,23.11
14:01:45,27.80,203695,23.12
14:01:48,27.81,203657,23.10
14:01:51,27.79,203620,23.08
14:01:54,27.80,203583,23.09
14:01:57,27.78,203546,23.07
14:02:00,27.79,203508,23.05
14:02:03,27.77,203471,23.06
14:02:06,27.78,203434,23.04
14:02:09,27.76,203397,23.02
14:02:12,27.77,203359,23.03
14:02:15,27.75,203322,23.01
14:02:18,27.76,203285,23.00
14:02:21,27.74,203248,23.01
14:02:24,27.75,203210,23.03
14:02:27,27.73,203173,23.05
14:02:30,27.74,203136,23.07
14:02:33,27.72,203099,23.09
14:02:36,27.73,203061,23.11
14:02:39,27.71,203024,23.13
14:02:42,27.72,202987,23.15
14:02:45,27.70,202950,23.17
14:02:48,27.71,202912,23.19
14:02:51,27.69,202875,23.21
14:02:54,27.70,202838,23.23
14:02:57,27.68,202801,23.25
14:03:00,27.69,202763,23.27
14:03:03,27.67,202726,23.29
14:03:06,27.68,202689,23.31
14:03:09,27.66,202652,23.33
14:03:12,27.67,202614,23.35
14:03:15,27.65,202577,23.37
14:03:18,27.66,202540,23.39
14:03:21,27.64,202503,23.41
14:03:24,27.65,202465,23.43
14:03:27,27.63,202428,23.45
14:03:30,27.64,202391,23.47
14:03:33,27.62,202354,23.49
14:03:36,27.63,202316,23.51
14:03:39,27.61,202279,23.53
14:03:42,27.62,202242,23.55
14:03:45,27.60,202205,23.57
14:03:48,27.61,202167,23.59
14:03:51,27.59,202130,23.61
14:03:54,27.60,202093,23.63
14:03:57,27.58,202056,23.65
14:04:00,27.59,202018,23.67
14:04:03,27.57,201981,23.69
14:04:06,27.58,201944,23.71
14:04:09,27.56,201907,23.73
14:04:12,27.57,201869,23.75
14:04:15,27.55,201832,23.77
14:04:18,27.56,201795,23.79
14:04:21,27.54,201758,23.81
14:04:24,27.55,201720,23.83
14:04:27,27.53,201683,23.85
14:04:30,27.54,201646,23.87
14:04:33,27.52,201609,23.89
14:04:36,27.53,201571,23.91
14:04:39,27.51,201534,23.93
14:04:42,27.52,201497,23.95
14:04:45,27.50,201460,23.97
14:04:48,27.51,201422,23.99
14:04:51,27.49,201385,23.98
14:04:54,27.50,201348,23.96
14:04:57,27.48,201311,23.94
14:05:00,27.49,201273,23.92
14:05:03,27.47,201236,23.90
14:05:06,27.48,201199,23.88
14:05:09,27.46,201162,23.86
14:05:12,27.47,201124,23.84
14:05:15,27.45,201087,23.82
14:05:18,27.46,201050,23.80
14:05:21,27.44,201013,23.78
14:05:24,27.45,200975,23.76
14:05:27,27.43,200938,23.74
14:05:30,27.44,200901,23.72
14:05:33,27.42,200864,23.70
14:05:36,27.43,200826,23.68
14:05:39,27.41,200789,23.66
14:05:42,27.42,200752,23.64
14:05:45,27.40,200715,23.62
14:05:48,27.41,200677,23.60
14:05:51,27.39,200640,23.58
14:05:54,27.40,200603,23.56
14:05:57,27.38,200566,23.54
14:06:00,27.39,200528,23.52
14:06:03,27.37,200491,23.50
14:06:06,27.38,200454,23.48
14:06:09,27.36,200417,23.46
14:06:12,27.37,200379,23.44
14:06:15,27.35,200342,23.42
14:06:18,27.36,200305,23.40
14:06:21,27.34,200268,23.38
14:06:24,27.35,200230,23.36
14:06:27,27.33,200193,23.34
14:06:30,27.34,200156,23.32
14:06:33,27.32,200119,23.30
14:06:36,27.33,200081,23.28
14:06:39,27.31,200044,23.26
14:06:42,27.32,200007,23.24
14:06:45,27.30,199970,23.22
14:06:48,27.31,199932,23.20
14:06:51,27.29,199895,23.18
14:06:54,27.30,199858,23.16
14:06:57,27.28,199821,23.14
14:07:00,27.29,199783,23.12
14:07:03,27.27,199746,23.10
14:07:06,27.28,199709,23.08
14:07:09,27.26,199672,23.06
14:07:12,27.27,199634,23.04
14:07:15,27.25,199597,23.02
14:07:18,27.26,199560,23.00
14:07:21,27.24,199523,23.01
14:07:24,27.25,199485,23.03
14:07:27,27.23,199448,23.05
14:07:30,27.24,199411,23.07
14:07:33,27.22,199374,23.09
14:07:36,27.23,199336,23.11
14:07:39,27.21,199299,23.13
14:07:42,27.22,199262,23.15
14:07:45,27.20,199225,23.17
14:07:48,27.21,199187,23.19
14:07:51,27.19,199150,23.21
14:07:54,27.20,199113,23.23
14:07:57,27.18,199076,23.25
14:08:00,27.19,199038,23.27
14:08:03,27.17,199001,23.29
14:08:06,27.18,198964,23.31
14:08:09,27.16,198927,23.33
14:08:12,27.17,198889,23.35
14:08:15,27.15,198852,23.37
14:08:18,27.16,198815,23.39
14:08:21,27.14,198778,23.41
14:08:24,27.15,198740,23.43
14:08:27,27.13,198703,23.45
14:08:30,27.14,198666,23.47
14:08:33,27.12,198629,23.49
14:08:36,27.13,198591,23.51
14:08:39,27.11,198554,23.53
14:08:42,27.12,198517,23.55
14:08:45,27.10,198480,23.57
14:08:48,27.11,198442,23.59
14:08:51,27.09,198405,23.61
14:08:54,27.10,198368,23.63
14:08:57,27.08,198331,23.65
14:09:00,27.09,198293,23.67
14:09:03,27.07,198256,23.69
14:09:06,27.08,198219,23.71
14:09:09,27.06,198182,23.73
14:09:12,27.07,198144,23.75
14:09:15,27.05,198107,23.77
14:09:18,27.06,198070,23.79
14:09:21,27.04,198033,23.81
14:09:24,27.05,197995,23.83
14:09:27,27.03,197958,23.85
14:09:30,27.04,197921,23.87
14:09:33,27.02,197884,23.89
14:09:36,27.03,197846,23.91
14:09:39,27.01,197809,23.93
14:09:42,27.02,197772,23.95
14:09:45,27.00,197735,23.97
14:09:48,27.01,197697,23.99
14:09:51,26.99,197660,23.98
14:09:54,27.00,197623,23.96
14:09:57,26.98,197586,23.94
14:10:00,26.99,197548,23.92
14:10:03,26.97,197511,23.90
14:10:06,26.98,197474,23.88
14:10:09,26.96,197437,23.86
14:10:12,26.97,197399,23.84
14:10:15,26.95,197362,23.82
14:10:18,26.96,197325,23.80
14:10:21,26.94,197288,23.78
14:10:24,26.95,197250,23.76
14:10:27,26.93,197213,23.74
14:10:30,26.94,197176,23.72
14:10:33,26.92,197139,23.70
14:10:36,26.93,197101,23.68
14:10:39,26.91,197064,23.66
14:10:42,26.92,197027,23.64
14:10:45,26.90,196990,23.62
14:10:48,26.91,196952,23.60
14:10:51,26.89,196915,23.58
14:10:54,26.90,196878,23.56
14:10:57,26.88,196841,23.54
14:11:00,26.89,196803,23.52
14:11:03,26.87,196766,23.50
14:11:06,26.88,196729,23.48
14:11:09,26.86,196692,23.46
14:11:12,26.87,196654,23.44
14:11:15,26.85,196617,23.42
14:11:18,26.86,196580,23.40
14:11:21,26.84,196543,23.38
14:11:24,26.85,196505,23.36
14:11:27,26.83,196468,23.34
14:11:30,26.84,196431,23.32
14:11:33,26.82,196394,23.30
14:11:36,26.83,196356,23.28
14:11:39,26.81,196319,23.26
14:11:42,26.82,196282,23.24
14:11:45,26.80,196245,23.22
14:11:48,26.81,196207,23.20
14:11:51,26.79,196170,23.18
14:11:54,26.80,196133,23.16
14:11:57,26.78,196096,23.14
14:12:00,26.79,196058,23.12
14:12:03,26.77,196021,23.10
14:12:06,26.78,195984,23.08
14:12:09,26.76,195947,23.06
14:12:12,26.77,195909,23.04
14:12:15,26.75,195872,23.02
14:12:18,26.76,195835,23.00
14:12:21,26.74,195798,23.01
14:12:24,26.75,195760,23.03
14:12:27,26.73,195723,23.05
14:12:30,26.74,195686,23.07
14:12:33,26.72,195649,23.09
14:12:36,26.73,195611,23.11
14:12:39,26.71,195574,23.13
14:12:42,26.72,195537,23.15
14:12:45,26.70,195500,23.17
14:12:48,26.71,195462,23.19
14:12:51,26.69,195425,23.21
14:12:54,26.70,195388,23.23
14:12:57,26.68,195351,23.25
14:13:00,26.69,195313,23.27
14:13:03,26.67,195276,23.29
14:13:06,26.68,195239,23.31
14:13:09,26.66,195202,23.33
14:13:12,26.67,195164,23.35
14:13:15,26.65,195127,23.37
14:13:18,26.66,195090,23.39
14:13:21,26.64,195053,23.41
14:13:24,26.65,195015,23.43
14:13:27,26.63,194978,23.45
14:13:30,26.64,194941,23.47
14:13:33,26.62,194904,23.49
14:13:36,26.63,194866,23.51
14:13:39,26.61,194829,23.53
14:13:42,26.62,194792,23.55
14:13:45,26.60,194755,23.57
14:13:48,26.61,194717,23.59
14:13:51,26.59,194680,23.61
14:13:54,26.60,194643,23.63
14:13:57,26.58,194606,23.65
14:14:00,26.59,194568,23.67
14:14:03,26.57,194531,23.69
14:14:06,26.58,194494,23.71
14:14:09,26.56,194457,23.73
14:14:12,26.57,194419,23.75
14:14:15,26.55,194382,23.77
14:14:18,26.56,194345,23.79
14:14:21,26.54,194308,23.81
14:14:24,26.55,194270,23.83
14:14:27,26.53,194233,23.85
14:14:30,26.54,194196,23.87
14:14:33,26.52,194159,23.89
14:14:36,26.53,194121,23.91
14:14:39,26.51,194084,23.93
14:14:42,26.52,194047,23.95
14:14:45,26.50,194010,23.97
14:14:48,26.51,193972,23.99
14:14:51,26.49,193935,23.98
14:14:54,26.50,193898,23.96
14:14:57,26.48,193861,23.94
14:15:00,26.49,193823,23.92
14:15:03,26.47,193786,23.90
14:15:06,26.48,193749,23.88
14:15:09,26.46,193712,23.86
14:15:12,26.47,193674,23.84
14:15:15,26.45,193637,23.82
14:15:18,26.46,193600,23.80
14:15:21,26.44,193563,23.78
14:15:24,26.45,193525,23.76
14:15:27,26.43,193488,23.74
14:15:30,26.44,193451,23.72
14:15:33,26.42,193414,23.70
14:15:36,26.43,193376,23.68
14:15:39,26.41,193339,23.66
14:15:42,26.42,193302,23.64
14:15:45,26.40,193265,23.62
14:15:48,26.41,193227,23.60
14:15:51,26.39,193190,23.58
14:15:54,26.40,193153,23.56
14:15:57,26.38,193116,23.54
14:16:00,26.39,193078,23.52
14:16:03,26.37,193041,23.50
14:16:06,26.38,193004,23.48
14:16:09,26.36,192967,23.46
14:16:12,26.37,192929,23.44
14:16:15,26.35,192892,23.42
14:16:18,26.36,192855,23.40
14:16:21,26.34,192818,23.38
14:16:24,26.35,192780,23.36
14:16:27,26.33,192743,23.34
14:16:30,26.34,192706,23.32
14:16:33,26.32,192669,23.30
14:16:36,26.33,192631,23.28
14:16:39,26.31,192594,23.26
14:16:42,26.32,192557,23.24
14:16:45,26.30,192520,23.22
14:16:48,26.31,192482,23.20
14:16:51,26.29,192445,23.18
14:16:54,26.30,192408,23.16
14:16:57,26.28,192371,23.14
14:17:00,26.29,192333,23.12
14:17:03,26.27,192296,23.10
14:17:06,26.28,192259,23.08
14:17:09,26.26,192222,23.06
14:17:12,26.27,192184,23.04
14:17:15,26.25,192147,23.02
14:17:18,26.26,192110,23.00
14:17:21,26.24,192073,23.01
14:17:24,26.25,192035,23.03
14:17:27,26.23,191998,23.05
14:17:30,26.24,191961,23.07
14:17:33,26.22,191924,23.09
14:17:36,26.23,191886,23.11
14:17:39,26.21,191849,23.13
14:17:42,26.22,191812,23.15
14:17:45,26.20,191775,23.17
14:17:48,26.21,191737,23.19
14:17:51,26.19,191700,23.21
14:17:54,26.20,191663,23.23
14:17:57,26.18,191626,23.25
14:18:00,26.19,191588,23.27
14:18:03,26.17,191551,23.29
14:18:06,26.18,191514,23.31
14:18:09,26.16,191477,23.33
14:18:12,26.17,191439,23.35
14:18:15,26.15,191402,23.37
14:18:18,26.16,191365,23.39
14:18:21,26.14,191328,23.41
14:18:24,26.15,191290,23.43
14:18:27,26.13,191253,23.45
14:18:30,26.14,191216,23.47
14:18:33,26.12,191179,23.49
14:18:36,26.13,191141,23.51
14:18:39,26.11,191104,23.53
14:18:42,26.12,191067,23.55
14:18:45,26.10,191030,23.57
14:18:48,26.11,190992,23.59
14:18:51,26.09,190955,23.61
14:18:54,26.10,190918,23.63
14:18:57,26.08,190881,23.65
14:19:00,26.09,190843,23.67
14:19:03,26.07,190806,23.69
14:19:06,26.08,190769,23.71
14:19:09,26.06,190732,23.73
14:19:12,26.07,190694,23.75
14:19:15,26.05,190657,23.77
14:19:18,26.06,190620,23.79
14:19:21,26.04,190583,23.81
14:19:24,26.05,190545,23.83
14:19:27,26.03,190508,23.85
14:19:30,26.04,190471,23.87
14:19:33,26.02,190434,23.89
14:19:36,26.03,190396,23.91
14:19:39,26.01,190359,23.93
14:19:42,26.02,190322,23.95
14:19:45,26.00,190285,23.97
14:19:48,26.01,190247,23.99
14:19:51,25.99,190210,23.98
14:19:54,26.00,190173,23.96
14:19:57,25.98,190136,23.94
14:20:00,25.99,190098,23.92
14:20:03,25.97,190061,23.90
14:20:06,25.98,190024,23.88
14:20:09,25.96,189987,23.86
14:20:12,25.97,189949,23.84
14:20:15,25.95,189912,23.82
14:20:18,25.96,189875,23.80
14:20:21,25.94,189838,23.78
14:20:24,25.95,189800,23.76
14:20:27,25.93,189763,23.74
14:20:30,25.94,189726,23.72
14:20:33,25.92,189689,23.70
14:20:36,25.93,189651,23.68
14:20:39,25.91,189614,23.66
14:20:42,25.92,189577,23.64
14:20:45,25.90,189540,23.62
14:20:48,25.91,189502,23.60
14:20:51,25.89,189465,23.58
14:20:54,25.90,189428,23.56
14:20:57,25.88,189391,23.54
14:21:00,25.89,189353,23.52
14:21:03,25.87,189316,23.50
14:21:06,25.88,189279,23.48
14:21:09,25.86,189242,23.46
14:21:12,25.87,189204,23.44
14:21:15,25.85,189167,23.42
14:21:18,25.86,189130,23.40
14:21:21,25.84,189093,23.38
14:21:24,25.85,189055,23.36
14:21:27,25.83,189018,23.34
14:21:30,25.84,188981,23.32
14:21:33,25.82,188944,23.30
14:21:36,25.83,188906,23.28
14:21:39,25.81,188869,23.26
14:21:42,25.82,188832,23.24
14:21:45,25.80,188795,23.22
14:21:48,25.81,188757,23.20
14:21:51,25.79,188720,23.18
14:21:54,25.80,188683,23.16
14:21:57,25.78,188646,23.14
14:22:00,25.79,188608,23.12
14:22:03,25.77,188571,23.10
14:22:06,25.78,188534,23.08
14:22:09,25.76,188497,23.06
14:22:12,25.77,188459,23.04
14:22:15,25.75,188422,23.02
14:22:18,25.76,188385,23.00
14:22:21,25.74,188348,23.01
14:22:24,25.75,188310,23.03
14:22:27,25.73,188273,23.05
14:22:30,25.74,188236,23.07
14:22:33,25.72,188199,23.09
14:22:36,25.73,188161,23.11
14:22:39,25.71,188124,23.13
14:22:42,25.72,188087,23.15
14:22:45,25.70,188050,23.17
14:22:48,25.71,188012,23.19
14:22:51,25.69,187975,23.21
14:22:54,25.70,187938,23.23
14:22:57,25.68,187901,23.25
14:23:00,25.69,187863,23.27
14:23:03,25.67,187826,23.29
14:23:06,25.68,187789,23.31
14:23:09,25.66,187752,23.33
14:23:12,25.67,187714,23.35
14:23:15,25.65,187677,23.37
14:23:18,25.66,187640,23.39
14:23:21,25.64,187603,23.41
14:23:24,25.65,187565,23.43
14:23:27,25.63,187528,23.45
14:23:30,25.64,187491,23.47
14:23:33,25.62,187454,23.49
14:23:36,25.63,187416,23.51
14:23:39,25.61,187379,23.53
14:23:42,25.62,187342,23.55
14:23:45,25.60,187305,23.57
14:23:48,25.61,187267,23.59
14:23:51,25.59,187230,23.61
14:23:54,25.60,187193,23.63
14:23:57,25.58,187156,23.65
14:24:00,25.59,187118,23.67
14:24:03,25.57,187081,23.69
14:24:06,25.58,187044,23.71
14:24:09,25.56,187007,23.73
14:24:12,25.57,186969,23.75
14:24:15,25.55,186932,23.77
14:24:18,25.56,186895,23.79
14:24:21,25.54,186858,23.81
14:24:24,25.55,186820,23.83
14:24:27,25.53,186783,23.85
14:24:30,25.54,186746,23.87
14:24:33,25.52,186709,23.89
14:24:36,25.53,186671,23.91
14:24:39,25.51,186634,23.93
14:24:42,25.52,186597,23.95
14:24:45,25.50,186560,23.97
14:24:48,25.51,186522,23.99
14:24:51,25.49,186485,23.98
14:24:54,25.50,186448,23.96
14:24:57,25.48,186411,23.94
14:25:00,25.49,186373,23.92
14:25:03,25.47,186336,23.90
14:25:06,25.48,186299,23.88
14:25:09,25.46,186262,23.86
14:25:12,25.47,186224,23.84
14:25:15,25.45,186187,23.82
14:25:18,25.46,186150,23.80
14:25:21,25.44,186113,23.78
14:25:24,25.45,186075,23.76
14:25:27,25.43,186038,23.74
14:25:30,25.44,186001,23.72
14:25:33,25.42,185964,23.70
14:25:36,25.43,185926,23.68
14:25:39,25.41,185889,23.66
14:25:42,25.42,185852,23.64
14:25:45,25.40,185815,23.62
14:25:48,25.41,185777,23.60
14:25:51,25.39,185740,23.58
14:25:54,25.40,185703,23.56
14:25:57,25.38,185666,23.54
14:26:00,25.39,185628,23.52
14:26:03,25.37,185591,23.50
14:26:06,25.38,185554,23.48
14:26:09,25.36,185517,23.46
14:26:12,25.37,185479,23.44
14:26:15,25.35,185442,23.42
14:26:18,25.36,185405,23.40
14:26:21,25.34,185368,23.38
14:26:24,25.35,185330,23.36
14:26:27,25.33,185293,23.34
14:26:30,25.34,185256,23.32
14:26:33,25.32,185219,23.30
14:26:36,25.33,185181,23.28
14:26:39,25.31,185144,23.26
14:26:42,25.32,185107,23.24
14:26:45,25.30,185070,23.22
14:26:48,25.31,185032,23.20
14:26:51,25.29,184995,23.18
14:26:54,25.30,184958,23.16
14:26:57,25.28,184921,23.14
14:27:00,25.29,184883,23.12
14:27:03,25.27,184846,23.10
14:27:06,25.28,184809,23.08
14:27:09,25.26,184772,23.06
14:27:12,25.27,184734,23.04
14:27:15,25.25,184697,23.02
14:27:18,25.26,184660,23.00
14:27:21,25.24,184623,23.01
